warehouse_id,warehouse_code,warehouse_name,warehouse_type,region,state,city,address,postal_code,latitude,longitude,manager_name,email,phone,storage_capacity_mt,current_utilization_percent,temperature_zone,operating_hours,status,created_at,updated_at
WH000013,WH-0013,North Hub,Cold Storage,South,Karnataka,Bengaluru,"560001 MG Road, Bengaluru, Karnataka",560001,12.9716,77.5946,Warinder Pall,northhub@enterprisefmcg.com,+91 6758699625,50000,76,Ambient,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000032,WH-0032,West Distribution Center,Finished Goods Warehouse,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,Imaran Sarna,westdistributioncenter@enterprisefmcg.com,+91 6963138695,50000,47,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000056,WH-0056,West Hub,Finished Goods Warehouse,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Pushti Basu,westhub@enterprisefmcg.com,+91 6851624356,5000,84,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000089,WH-0089,Central Hub,Central Warehouse,South,Kerala,Kochi,"682001 MG Road, Kochi, Kerala",682001,9.9312,76.2673,Champak Kapoor,centralhub@enterprisefmcg.com,+91 7989819892,2500,63,Frozen,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000027,WH-0027,West Distribution Center,Regional Distribution Center,East,West Bengal,Kolkata,"700001 MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,Gunbir Sama,westdistributioncenter@enterprisefmcg.com,+91 6206440581,50000,95,Chilled,24x7,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000043,WH-0043,National Distribution Center,Central Warehouse,West,Maharashtra,Pune,"411001 MG Road, Pune, Maharashtra",411001,18.5204,73.8567,Utkarsh Lal,nationaldistributioncenter@enterprisefmcg.com,+91 7045938320,2500,45,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000070,WH-0070,North Warehouse,Finished Goods Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Harshil Atwal,northwarehouse@enterprisefmcg.com,+91 7118118958,10000,47,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000016,WH-0016,National Hub,Central Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Baghyawati Aggarwal,nationalhub@enterprisefmcg.com,+91 9164843381,5000,72,Chilled,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000041,WH-0041,North Depot,Finished Goods Warehouse,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Luke Kota,northdepot@enterprisefmcg.com,+91 6413264036,25000,88,Ambient,24x7,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000097,WH-0097,Global Depot,Raw Material Warehouse,North,Uttar Pradesh,Kanpur,"208001 MG Road, Kanpur, Uttar Pradesh",208001,26.4499,80.3319,Imaran Shankar,globaldepot@enterprisefmcg.com,+91 6701777239,10000,60,Frozen,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000010,WH-0010,Global Depot,Raw Material Warehouse,West,Gujarat,Surat,"395003 MG Road, Surat, Gujarat",395003,21.1702,72.8311,Pushti Soni,globaldepot@enterprisefmcg.com,+91 8533919971,15000,40,Chilled,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000073,WH-0073,Prime Storage,Raw Material Warehouse,South,Tamil Nadu,Salem,"636001 MG Road, Salem, Tamil Nadu",636001,11.6643,78.146,Mahika Bhat,primestorage@enterprisefmcg.com,+91 6986068543,25000,47,Ambient,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000012,WH-0012,Central Storage,Finished Goods Warehouse,West,Gujarat,Surat,"395003 MG Road, Surat, Gujarat",395003,21.1702,72.8311,Ojasvi Goyal,centralstorage@enterprisefmcg.com,+91 9080933273,2500,80,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000048,WH-0048,West Storage,Finished Goods Warehouse,West,Maharashtra,Nagpur,"440001 MG Road, Nagpur, Maharashtra",440001,21.1458,79.0882,Jasmit Sinha,weststorage@enterprisefmcg.com,+91 6003878243,2500,73,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000086,WH-0086,Metro Warehouse,Raw Material Warehouse,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Pooja Hegde,metrowarehouse@enterprisefmcg.com,+91 9686474646,15000,68,Chilled,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000029,WH-0029,Global Storage,Finished Goods Warehouse,West,Gujarat,Surat,"395003 MG Road, Surat, Gujarat",395003,21.1702,72.8311,Patrick Nagi,globalstorage@enterprisefmcg.com,+91 9790398741,10000,95,Frozen,24x7,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000094,WH-0094,Elite Depot,Central Warehouse,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,George Dutta,elitedepot@enterprisefmcg.com,+91 6485143715,5000,43,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000006,WH-0006,East Warehouse,Cold Storage,East,West Bengal,Kolkata,"700001 MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,Indrajit Randhawa,eastwarehouse@enterprisefmcg.com,+91 6017449040,1000,79,Ambient,08:00-20:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000067,WH-0067,Prime Warehouse,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Osha Chawla,primewarehouse@enterprisefmcg.com,+91 9650021152,10000,60,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000066,WH-0066,Metro Storage,Raw Material Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Faras Sane,metrostorage@enterprisefmcg.com,+91 7251220282,15000,83,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000036,WH-0036,Prime Hub,Central Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Ronith Banerjee,primehub@enterprisefmcg.com,+91 7811420412,50000,65,Chilled,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000017,WH-0017,Prime Hub,Central Warehouse,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Chaitanya Prashad,primehub@enterprisefmcg.com,+91 9561292343,25000,69,Ambient,08:00-20:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000050,WH-0050,West Hub,Finished Goods Warehouse,North,Uttar Pradesh,Lucknow,"226001 MG Road, Lucknow, Uttar Pradesh",226001,26.8467,80.9462,Siddharth Dave,westhub@enterprisefmcg.com,+91 8887545325,1000,92,Chilled,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000035,WH-0035,Central Storage,Cold Storage,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Gagan Pau,centralstorage@enterprisefmcg.com,+91 6915099354,5000,40,Chilled,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000008,WH-0008,Elite Warehouse,Raw Material Warehouse,West,Maharashtra,Pune,"411001 MG Road, Pune, Maharashtra",411001,18.5204,73.8567,Udant Bir,elitewarehouse@enterprisefmcg.com,+91 8530393334,10000,75,Chilled,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000096,WH-0096,Global Hub,Regional Distribution Center,South,Karnataka,Bengaluru,"560001 MG Road, Bengaluru, Karnataka",560001,12.9716,77.5946,Nirja Ray,globalhub@enterprisefmcg.com,+91 6140922610,1000,44,Ambient,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000028,WH-0028,East Distribution Center,Finished Goods Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Aashi Dixit,eastdistributioncenter@enterprisefmcg.com,+91 9305774878,10000,60,Frozen,06:00-22:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000020,WH-0020,South Distribution Center,Finished Goods Warehouse,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Urvashi Pandya,southdistributioncenter@enterprisefmcg.com,+91 7481826220,2500,76,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000082,WH-0082,Elite Hub,Cold Storage,South,Karnataka,Mysuru,"570001 MG Road, Mysuru, Karnataka",570001,12.2958,76.6394,Azad Mahajan,elitehub@enterprisefmcg.com,+91 7151823306,1000,67,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000026,WH-0026,Metro Storage,Raw Material Warehouse,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Imaran Deo,metrostorage@enterprisefmcg.com,+91 7389417787,10000,45,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000063,WH-0063,Elite Depot,Raw Material Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Dhruv Kohli,elitedepot@enterprisefmcg.com,+91 6801732950,5000,73,Chilled,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000014,WH-0014,Central Storage,Finished Goods Warehouse,North,Uttar Pradesh,Noida,"201301 MG Road, Noida, Uttar Pradesh",201301,28.5355,77.391,Karan Sachar,centralstorage@enterprisefmcg.com,+91 8923174171,15000,58,Frozen,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000025,WH-0025,Elite Warehouse,Central Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Krisha Sule,elitewarehouse@enterprisefmcg.com,+91 6969791905,2500,54,Frozen,08:00-20:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000004,WH-0004,Central Hub,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Divya Shroff,centralhub@enterprisefmcg.com,+91 6748089754,2500,47,Ambient,08:00-20:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000018,WH-0018,Central Distribution Center,Raw Material Warehouse,North,Uttar Pradesh,Noida,"201301 MG Road, Noida, Uttar Pradesh",201301,28.5355,77.391,Abhimanyu Malhotra,centraldistributioncenter@enterprisefmcg.com,+91 8959577805,15000,71,Frozen,08:00-20:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000039,WH-0039,Prime Hub,Central Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Jairaj Murthy,primehub@enterprisefmcg.com,+91 9281834902,2500,40,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000009,WH-0009,South Storage,Regional Distribution Center,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,Damyanti Mand,southstorage@enterprisefmcg.com,+91 8519584582,2500,65,Chilled,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000079,WH-0079,Global Storage,Finished Goods Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Tanish Sheth,globalstorage@enterprisefmcg.com,+91 9031033356,1000,57,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000007,WH-0007,West Storage,Raw Material Warehouse,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Laksh Kota,weststorage@enterprisefmcg.com,+91 8214329705,50000,56,Frozen,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000065,WH-0065,East Warehouse,Finished Goods Warehouse,South,Karnataka,Bengaluru,"560001 MG Road, Bengaluru, Karnataka",560001,12.9716,77.5946,Krisha Shetty,eastwarehouse@enterprisefmcg.com,+91 9068943243,1000,72,Ambient,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000037,WH-0037,Central Warehouse,Cold Storage,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Inaya Nayak,centralwarehouse@enterprisefmcg.com,+91 7617762779,10000,70,Frozen,08:00-20:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000090,WH-0090,Global Distribution Center,Finished Goods Warehouse,South,Kerala,Kochi,"682001 MG Road, Kochi, Kerala",682001,9.9312,76.2673,Nathan Kumer,globaldistributioncenter@enterprisefmcg.com,+91 6768604261,1000,81,Chilled,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000057,WH-0057,Global Storage,Cold Storage,West,Maharashtra,Mumbai,"400001 MG Road, Mumbai, Maharashtra",400001,19.076,72.8777,Lekha Upadhyay,globalstorage@enterprisefmcg.com,+91 8815769867,10000,56,Frozen,06:00-22:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000100,WH-0100,Elite Hub,Central Warehouse,East,West Bengal,Kolkata,"700001 MG Road, Kolkata, West Bengal",700001,22.5726,88.3639,Mitesh Venkatesh,elitehub@enterprisefmcg.com,+91 9398046589,1000,64,Frozen,08:00-20:00,Active,2026-07-20 14:26:24.845776,2026-07-20 14:26:24.845776
WH000055,WH-0055,South Hub,Central Warehouse,West,Gujarat,Ahmedabad,"380001 MG Road, Ahmedabad, Gujarat",380001,23.0225,72.5714,Rajata Sundaram,southhub@enterprisefmcg.com,+91 9057126548,1000,84,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000044,WH-0044,East Warehouse,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Jyoti Mannan,eastwarehouse@enterprisefmcg.com,+91 7180790153,50000,62,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000051,WH-0051,East Distribution Center,Central Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Bhavna Dixit,eastdistributioncenter@enterprisefmcg.com,+91 6535898187,2500,73,Chilled,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000068,WH-0068,South Distribution Center,Finished Goods Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Sai Bhat,southdistributioncenter@enterprisefmcg.com,+91 8084578287,50000,74,Ambient,24x7,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000047,WH-0047,Elite Distribution Center,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Osha Krishna,elitedistributioncenter@enterprisefmcg.com,+91 6397287469,2500,60,Ambient,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000069,WH-0069,Global Hub,Cold Storage,South,Kerala,Kozhikode,"673001 MG Road, Kozhikode, Kerala",673001,11.2588,75.7804,Nirja Dalal,globalhub@enterprisefmcg.com,+91 8061274690,15000,70,Frozen,24x7,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000062,WH-0062,Metro Storage,Regional Distribution Center,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Chasmum Saraf,metrostorage@enterprisefmcg.com,+91 7970335751,1000,63,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000098,WH-0098,West Distribution Center,Raw Material Warehouse,East,Odisha,Bhubaneswar,"751001 MG Road, Bhubaneswar, Odisha",751001,20.2961,85.8245,Manan Date,westdistributioncenter@enterprisefmcg.com,+91 8394565228,1000,90,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000080,WH-0080,West Distribution Center,Regional Distribution Center,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Vasudha Sarkar,westdistributioncenter@enterprisefmcg.com,+91 9608465541,2500,85,Ambient,24x7,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000042,WH-0042,East Storage,Cold Storage,East,West Bengal,Siliguri,"734001 MG Road, Siliguri, West Bengal",734001,26.7271,88.3953,Anthony Banerjee,eaststorage@enterprisefmcg.com,+91 7068340880,15000,61,Frozen,08:00-20:00,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000059,WH-0059,National Depot,Raw Material Warehouse,West,Maharashtra,Nagpur,"440001 MG Road, Nagpur, Maharashtra",440001,21.1458,79.0882,Ekani Pandit,nationaldepot@enterprisefmcg.com,+91 9485081835,2500,88,Ambient,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000049,WH-0049,Metro Storage,Finished Goods Warehouse,South,Kerala,Kochi,"682001 MG Road, Kochi, Kerala",682001,9.9312,76.2673,Hiral Basu,metrostorage@enterprisefmcg.com,+91 7870869248,5000,89,Frozen,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000099,WH-0099,South Warehouse,Regional Distribution Center,West,Gujarat,Vadodara,"390001 MG Road, Vadodara, Gujarat",390001,22.3072,73.1812,Veda Varty,southwarehouse@enterprisefmcg.com,+91 7475804271,5000,55,Ambient,24x7,Active,2026-07-20 14:26:24.845776,2026-07-20 14:26:24.845776
WH000058,WH-0058,Central Warehouse,Finished Goods Warehouse,East,Odisha,Cuttack,"753001 MG Road, Cuttack, Odisha",753001,20.4625,85.8828,Wishi Pal,centralwarehouse@enterprisefmcg.com,+91 7842655451,15000,67,Frozen,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000076,WH-0076,North Distribution Center,Cold Storage,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Warda Deshmukh,northdistributioncenter@enterprisefmcg.com,+91 7271997717,50000,48,Chilled,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000033,WH-0033,West Distribution Center,Central Warehouse,South,Karnataka,Hubballi,"580020 MG Road, Hubballi, Karnataka",580020,15.3647,75.124,Quincy Grewal,westdistributioncenter@enterprisefmcg.com,+91 6885684499,10000,62,Frozen,24x7,Inactive,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000095,WH-0095,Elite Hub,Raw Material Warehouse,North,Uttar Pradesh,Lucknow,"226001 MG Road, Lucknow, Uttar Pradesh",226001,26.8467,80.9462,Lipika Varma,elitehub@enterprisefmcg.com,+91 8190233391,2500,46,Frozen,08:00-20:00,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000060,WH-0060,Metro Warehouse,Finished Goods Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Nicholas Sanghvi,metrowarehouse@enterprisefmcg.com,+91 9098113681,10000,81,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000064,WH-0064,South Storage,Finished Goods Warehouse,South,Kerala,Kochi,"682001 MG Road, Kochi, Kerala",682001,9.9312,76.2673,Lavanya Arya,southstorage@enterprisefmcg.com,+91 9509202232,1000,57,Ambient,24x7,Inactive,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000085,WH-0085,Metro Distribution Center,Cold Storage,South,Kerala,Kochi,"682001 MG Road, Kochi, Kerala",682001,9.9312,76.2673,Damini Zacharia,metrodistributioncenter@enterprisefmcg.com,+91 8657535291,2500,50,Chilled,08:00-20:00,Active,2026-07-20 14:26:24.844773,2026-07-20 14:26:24.844773
WH000038,WH-0038,East Storage,Central Warehouse,North,Delhi,New Delhi,"110001 MG Road, New Delhi, Delhi",110001,28.6139,77.209,Mekhala Cheema,eaststorage@enterprisefmcg.com,+91 8662738334,10000,72,Chilled,06:00-22:00,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
WH000030,WH-0030,North Depot,Regional Distribution Center,West,Gujarat,Surat,"395003 MG Road, Surat, Gujarat",395003,21.1702,72.8311,Nirja Sengupta,northdepot@enterprisefmcg.com,+91 7940747967,25000,45,Ambient,24x7,Active,2026-07-20 14:26:24.843772,2026-07-20 14:26:24.843772
