supplier_id,supplier_code,supplier_name,supplier_type,contact_person,email,phone,region,state,city,address,postal_code,latitude,longitude,gst_number,pan_number,payment_terms,lead_time_days,currency,supplier_rating,preferred_supplier,status,created_at,updated_at
SUP000010,SUP-00010,Elite Manufacturing,Contract Manufacturer,Hiral Suri,elitemanufacturing@supplier.com,+91 6894068508,West,Maharashtra,Mumbai,"400001 Mumbai, Maharashtra",400001,19.076,72.8777,08GGEMU2368K1Z5,WEXMS7912F,Advance,24,EUR,4.1,True,Inactive,2026-07-20 14:23:02.111473,2026-07-20 14:23:02.111473
SUP000195,SUP-00195,National Corporation,Packaging Supplier,Ekantika Rai,nationalcorporation@supplier.com,+91 9704492940,East,West Bengal,Siliguri,"734001 Siliguri, West Bengal",734001,26.7271,88.3953,23DNLUL5869L1Z5,NIILZ0116N,60 Days,6,EUR,4.3,False,Active,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000407,SUP-00407,United Packaging,Packaging Supplier,Robert Suresh,unitedpackaging@supplier.com,+91 9953717784,South,Karnataka,Mysuru,"570001 Mysuru, Karnataka",570001,12.2958,76.6394,15XKFQR7969F1Z5,CNAVQ3613I,Advance,12,USD,3.0,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000085,SUP-00085,Value Agencies,Import Supplier,Amrita Datta,valueagencies@supplier.com,+91 6632602374,North,Uttar Pradesh,Lucknow,"226001 Lucknow, Uttar Pradesh",226001,26.8467,80.9462,33GLYAG8503B1Z5,EFTEZ2751T,90 Days,30,EUR,4.6,False,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000372,SUP-00372,Fresh Industries,Raw Material Supplier,Rachit Raval,freshindustries@supplier.com,+91 8956544369,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,08YXQVS5016Q1Z5,OBRAB2460H,30 Days,4,INR,3.1,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000389,SUP-00389,Modern Supplies,Raw Material Supplier,Fitan Ganesan,modernsupplies@supplier.com,+91 9983163085,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,29LPANK5864Z1Z5,JUOUC0575C,30 Days,24,EUR,3.9,True,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000496,SUP-00496,United Supplies,Packaging Supplier,Omaja Mane,unitedsupplies@supplier.com,+91 6636810919,East,West Bengal,Siliguri,"734001 Siliguri, West Bengal",734001,26.7271,88.3953,33NTEHO5312O1Z5,WMLCZ0444C,30 Days,8,EUR,3.2,True,Inactive,2026-07-20 14:23:02.124005,2026-07-20 14:23:02.124005
SUP000031,SUP-00031,Metro Foods,Ingredient Supplier,Chameli Yadav,metrofoods@supplier.com,+91 6255150635,West,Gujarat,Surat,"395003 Surat, Gujarat",395003,21.1702,72.8311,29RMFFH8600Y1Z5,YSZMB2305O,90 Days,3,INR,4.5,False,Active,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000317,SUP-00317,National Packaging,Packaging Supplier,Balhaar Lalla,nationalpackaging@supplier.com,+91 6851004067,South,Kerala,Kochi,"682001 Kochi, Kerala",682001,9.9312,76.2673,13GFZSM2259D1Z5,XELNG0192N,30 Days,30,EUR,4.7,False,Active,2026-07-20 14:23:02.118991,2026-07-20 14:23:02.118991
SUP000409,SUP-00409,National Agencies,Packaging Supplier,Darpan Pandya,nationalagencies@supplier.com,+91 9530694221,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,30RGKDG7423O1Z5,KBPWG4407D,Advance,10,EUR,3.4,True,Inactive,2026-07-20 14:23:02.121999,2026-07-20 14:23:02.121999
SUP000491,SUP-00491,Metro Agencies,Local Vendor,Priya Deshmukh,metroagencies@supplier.com,+91 9757768472,West,Gujarat,Ahmedabad,"380001 Ahmedabad, Gujarat",380001,23.0225,72.5714,31VYLMQ1859D1Z5,SSPCB0422Y,15 Days,16,EUR,3.7,True,Active,2026-07-20 14:23:02.124005,2026-07-20 14:23:02.124005
SUP000492,SUP-00492,National Agencies,Raw Material Supplier,Dhruv Arora,nationalagencies@supplier.com,+91 9085067111,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,18LCMBH2164T1Z5,OBAJN1258Q,90 Days,17,INR,4.6,True,Inactive,2026-07-20 14:23:02.124005,2026-07-20 14:23:02.124005
SUP000281,SUP-00281,Prime Foods,Local Vendor,Hema Doctor,primefoods@supplier.com,+91 7999096040,South,Kerala,Kozhikode,"673001 Kozhikode, Kerala",673001,11.2588,75.7804,20SQLWR5200C1Z5,EOKED4476H,15 Days,21,EUR,3.7,False,Active,2026-07-20 14:23:02.117989,2026-07-20 14:23:02.117989
SUP000357,SUP-00357,ABC Supplies,Ingredient Supplier,Kritika Jain,abcsupplies@supplier.com,+91 9690180623,West,Gujarat,Surat,"395003 Surat, Gujarat",395003,21.1702,72.8311,15SOULO7078O1Z5,KJZUH4157Y,15 Days,11,EUR,3.0,False,Inactive,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000077,SUP-00077,Modern Supplies,Ingredient Supplier,Daniel Deep,modernsupplies@supplier.com,+91 6900305053,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,32FLPXR1357V1Z5,MUCUW7976A,15 Days,20,USD,4.7,True,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000462,SUP-00462,Modern Supplies,Contract Manufacturer,Gaurika Lal,modernsupplies@supplier.com,+91 7122674080,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,11CYIYV9810U1Z5,NXFII0449U,45 Days,28,EUR,4.5,False,Inactive,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
SUP000498,SUP-00498,Global Manufacturing,Contract Manufacturer,Jagrati Ravel,globalmanufacturing@supplier.com,+91 7285447004,West,Gujarat,Ahmedabad,"380001 Ahmedabad, Gujarat",380001,23.0225,72.5714,09YJHZX8997S1Z5,QXFOV2801N,30 Days,8,EUR,4.1,False,Inactive,2026-07-20 14:23:02.124005,2026-07-20 14:23:02.124005
SUP000212,SUP-00212,Modern Trading,Local Vendor,Vihaan Walia,moderntrading@supplier.com,+91 7868588291,South,Karnataka,Hubballi,"580020 Hubballi, Karnataka",580020,15.3647,75.124,04RGDOM7643R1Z5,PGPBA4297Z,30 Days,11,USD,3.2,True,Active,2026-07-20 14:23:02.116986,2026-07-20 14:23:02.116986
SUP000102,SUP-00102,National Trading,Packaging Supplier,Forum Kaur,nationaltrading@supplier.com,+91 8992428612,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,03RFRET0585Q1Z5,WTZFG7687Z,15 Days,28,USD,4.3,False,Inactive,2026-07-20 14:23:02.113978,2026-07-20 14:23:02.113978
SUP000335,SUP-00335,Crystal Packaging,Local Vendor,Xavier Mane,crystalpackaging@supplier.com,+91 9860614777,West,Gujarat,Surat,"395003 Surat, Gujarat",395003,21.1702,72.8311,32JFOPR7475L1Z5,DRFFV4665S,45 Days,28,USD,5.0,True,Inactive,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000476,SUP-00476,National Corporation,Raw Material Supplier,Mitali Badal,nationalcorporation@supplier.com,+91 9631736160,South,Kerala,Kochi,"682001 Kochi, Kerala",682001,9.9312,76.2673,19MTFFT7792G1Z5,IUUHA8745J,45 Days,19,EUR,4.3,False,Inactive,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
SUP000337,SUP-00337,Modern Agencies,Packaging Supplier,Chaitanya Patla,modernagencies@supplier.com,+91 6742900489,South,Karnataka,Bengaluru,"560001 Bengaluru, Karnataka",560001,12.9716,77.5946,25IDVJM5349H1Z5,RCNMO7475A,15 Days,17,USD,4.6,True,Inactive,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000441,SUP-00441,United Trading,Contract Manufacturer,Saksham Devan,unitedtrading@supplier.com,+91 9152911519,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,24JFYVO7787S1Z5,XFKZX5080J,45 Days,5,INR,4.1,True,Inactive,2026-07-20 14:23:02.121999,2026-07-20 14:23:02.121999
SUP000174,SUP-00174,United Corporation,Contract Manufacturer,Vasana Kata,unitedcorporation@supplier.com,+91 7350590771,South,Karnataka,Mysuru,"570001 Mysuru, Karnataka",570001,12.2958,76.6394,01SBTXV0995Y1Z5,BOTLA8131B,15 Days,28,EUR,4.0,False,Inactive,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000003,SUP-00003,Crystal Trading,Packaging Supplier,Hiral Raj,crystaltrading@supplier.com,+91 7173238446,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,27WBYID5330O1Z5,LIVWW2792E,60 Days,11,INR,4.7,False,Inactive,2026-07-20 14:23:02.111473,2026-07-20 14:23:02.111473
SUP000334,SUP-00334,Metro Solutions,Packaging Supplier,Hritik Borah,metrosolutions@supplier.com,+91 6873616253,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,24HKAMV5003O1Z5,YYLVO4301N,15 Days,11,EUR,3.5,False,Inactive,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000410,SUP-00410,Elite Corporation,Contract Manufacturer,Mugdha Agrawal,elitecorporation@supplier.com,+91 9675432537,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,28LQMWA0655E1Z5,QVJDW3086L,45 Days,30,EUR,4.0,True,Active,2026-07-20 14:23:02.121999,2026-07-20 14:23:02.121999
SUP000071,SUP-00071,Global Agencies,Ingredient Supplier,Aahana Lal,globalagencies@supplier.com,+91 8560944848,West,Gujarat,Vadodara,"390001 Vadodara, Gujarat",390001,22.3072,73.1812,10ZEQOS5938O1Z5,IPQRL7066F,15 Days,14,EUR,3.2,True,Inactive,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000210,SUP-00210,ABC Agencies,Ingredient Supplier,Nihal Bora,abcagencies@supplier.com,+91 9156210033,South,Kerala,Thiruvananthapuram,"695001 Thiruvananthapuram, Kerala",695001,8.5241,76.9366,08BAMWI4359L1Z5,NUPXI8809D,90 Days,25,USD,4.6,False,Inactive,2026-07-20 14:23:02.116986,2026-07-20 14:23:02.116986
SUP000064,SUP-00064,Elite Trading,Raw Material Supplier,Odika Mann,elitetrading@supplier.com,+91 6928801761,West,Gujarat,Ahmedabad,"380001 Ahmedabad, Gujarat",380001,23.0225,72.5714,12TZEKV1813U1Z5,QRTAR9968H,45 Days,3,EUR,4.8,False,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000385,SUP-00385,ABC Supplies,Raw Material Supplier,Sneha Memon,abcsupplies@supplier.com,+91 9754637298,East,West Bengal,Siliguri,"734001 Siliguri, West Bengal",734001,26.7271,88.3953,01QDFVG0342D1Z5,CIQON9786L,45 Days,24,INR,4.3,False,Active,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000094,SUP-00094,Fresh Corporation,Raw Material Supplier,Anjali Sha,freshcorporation@supplier.com,+91 9762598126,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,22TUNGN6451I1Z5,EIKBP6789M,45 Days,12,INR,3.7,False,Active,2026-07-20 14:23:02.113978,2026-07-20 14:23:02.113978
SUP000486,SUP-00486,Elite Solutions,Contract Manufacturer,Varenya Agarwal,elitesolutions@supplier.com,+91 9190263755,West,Gujarat,Vadodara,"390001 Vadodara, Gujarat",390001,22.3072,73.1812,25NBAYT0814R1Z5,IMGXC5205S,15 Days,30,EUR,3.2,True,Active,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
SUP000186,SUP-00186,Metro Foods,Import Supplier,Farhan Date,metrofoods@supplier.com,+91 8096332729,West,Gujarat,Surat,"395003 Surat, Gujarat",395003,21.1702,72.8311,15MCYZR3862V1Z5,TPUGT7272A,15 Days,12,USD,4.8,True,Inactive,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000034,SUP-00034,United Manufacturing,Packaging Supplier,Xiti Varma,unitedmanufacturing@supplier.com,+91 7774021621,North,Uttar Pradesh,Lucknow,"226001 Lucknow, Uttar Pradesh",226001,26.8467,80.9462,26UVKPD0978O1Z5,WFSES1961E,45 Days,17,INR,5.0,True,Inactive,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000078,SUP-00078,Elite Supplies,Contract Manufacturer,Kavya Dewan,elitesupplies@supplier.com,+91 6211796006,West,Maharashtra,Pune,"411001 Pune, Maharashtra",411001,18.5204,73.8567,20QXZWE7978K1Z5,WHUAU4302Q,15 Days,3,EUR,4.5,False,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000001,SUP-00001,Fresh Chemicals,Ingredient Supplier,Ira Sani,freshchemicals@supplier.com,+91 9138162283,South,Tamil Nadu,Madurai,"625001 Madurai, Tamil Nadu",625001,9.9252,78.1198,05ZDVBH9770T1Z5,SKNNF3316L,60 Days,13,USD,3.0,True,Inactive,2026-07-20 14:23:02.111473,2026-07-20 14:23:02.111473
SUP000012,SUP-00012,Fresh Corporation,Raw Material Supplier,Ishaan Patla,freshcorporation@supplier.com,+91 9724538915,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,22XZLDY6659G1Z5,TWIEM6833V,30 Days,10,INR,3.3,True,Inactive,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000416,SUP-00416,Fresh Corporation,Packaging Supplier,Eiravati Jhaveri,freshcorporation@supplier.com,+91 6189995234,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,03FPBEF7197I1Z5,CFNCY7994I,60 Days,16,USD,3.7,True,Inactive,2026-07-20 14:23:02.121999,2026-07-20 14:23:02.121999
SUP000023,SUP-00023,Fresh Manufacturing,Import Supplier,Falak Kibe,freshmanufacturing@supplier.com,+91 6576260395,North,Uttar Pradesh,Noida,"201301 Noida, Uttar Pradesh",201301,28.5355,77.391,24CFKSV1765Q1Z5,KEERK5335M,30 Days,18,EUR,4.9,False,Active,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000073,SUP-00073,National Solutions,Local Vendor,Dev Aggarwal,nationalsolutions@supplier.com,+91 9310571266,North,Uttar Pradesh,Noida,"201301 Noida, Uttar Pradesh",201301,28.5355,77.391,17JPVJY8786Y1Z5,EGOOP5536P,Advance,17,EUR,3.6,False,Inactive,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000183,SUP-00183,Crystal Foods,Contract Manufacturer,Jagat Choudhury,crystalfoods@supplier.com,+91 9645953488,North,Uttar Pradesh,Lucknow,"226001 Lucknow, Uttar Pradesh",226001,26.8467,80.9462,27IWHMU7377K1Z5,UIICG7506B,45 Days,26,EUR,4.0,False,Active,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000132,SUP-00132,National Trading,Contract Manufacturer,Bhavna Bath,nationaltrading@supplier.com,+91 8438715812,North,Uttar Pradesh,Lucknow,"226001 Lucknow, Uttar Pradesh",226001,26.8467,80.9462,11HKPQP2536V1Z5,EGAFG0627Q,Advance,12,INR,3.4,True,Active,2026-07-20 14:23:02.114981,2026-07-20 14:23:02.114981
SUP000411,SUP-00411,Global Supplies,Import Supplier,Nidra Manda,globalsupplies@supplier.com,+91 8586384789,South,Tamil Nadu,Madurai,"625001 Madurai, Tamil Nadu",625001,9.9252,78.1198,02NKCUM3304G1Z5,NMMNC6356D,15 Days,30,INR,4.4,False,Active,2026-07-20 14:23:02.121999,2026-07-20 14:23:02.121999
SUP000194,SUP-00194,Value Packaging,Local Vendor,Libni Manne,valuepackaging@supplier.com,+91 6247897576,South,Tamil Nadu,Trichy,"620001 Trichy, Tamil Nadu",620001,10.7905,78.7047,32RSXNP5190J1Z5,HSJMK0650G,45 Days,30,USD,3.3,False,Active,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000056,SUP-00056,Fresh Trading,Raw Material Supplier,Bhavika Chopra,freshtrading@supplier.com,+91 6325943783,South,Karnataka,Bengaluru,"560001 Bengaluru, Karnataka",560001,12.9716,77.5946,11AJVPQ5780K1Z5,FIMCA8047B,15 Days,27,INR,4.5,False,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000149,SUP-00149,United Manufacturing,Import Supplier,Onkar Dewan,unitedmanufacturing@supplier.com,+91 7154472596,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,18ABNYA5016X1Z5,SHGSZ1534H,15 Days,21,INR,4.3,True,Active,2026-07-20 14:23:02.114981,2026-07-20 14:23:02.114981
SUP000019,SUP-00019,Metro Solutions,Ingredient Supplier,Yachana Ratta,metrosolutions@supplier.com,+91 6654874580,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,03UCNFM5332R1Z5,OWRZL8404G,15 Days,11,USD,3.8,True,Inactive,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000205,SUP-00205,Fresh Trading,Contract Manufacturer,Tara Raval,freshtrading@supplier.com,+91 7284445304,East,West Bengal,Siliguri,"734001 Siliguri, West Bengal",734001,26.7271,88.3953,35FGXTW4727J1Z5,QVCMO3298M,30 Days,10,INR,3.4,True,Inactive,2026-07-20 14:23:02.115984,2026-07-20 14:23:02.115984
SUP000079,SUP-00079,Global Solutions,Local Vendor,Deepa Apte,globalsolutions@supplier.com,+91 8340022349,East,West Bengal,Siliguri,"734001 Siliguri, West Bengal",734001,26.7271,88.3953,35UGCKL1960P1Z5,SYFZE5051S,45 Days,9,EUR,3.7,True,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000495,SUP-00495,Elite Corporation,Packaging Supplier,Ishaan Bali,elitecorporation@supplier.com,+91 6514308538,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,28COPSD9461Z1Z5,SYUQG2593C,15 Days,7,EUR,4.9,True,Inactive,2026-07-20 14:23:02.124005,2026-07-20 14:23:02.124005
SUP000263,SUP-00263,Value Industries,Import Supplier,Madhavi Taneja,valueindustries@supplier.com,+91 6942293552,North,Delhi,New Delhi,"110001 New Delhi, Delhi",110001,28.6139,77.209,18BBBST3495Z1Z5,LZNCY3084G,45 Days,29,INR,3.3,True,Inactive,2026-07-20 14:23:02.117989,2026-07-20 14:23:02.117989
SUP000324,SUP-00324,ABC Manufacturing,Import Supplier,Radha Rajan,abcmanufacturing@supplier.com,+91 9643744597,South,Kerala,Kozhikode,"673001 Kozhikode, Kerala",673001,11.2588,75.7804,32GXMQJ8667F1Z5,UJKGH8353W,Advance,20,USD,4.9,True,Active,2026-07-20 14:23:02.118991,2026-07-20 14:23:02.118991
SUP000484,SUP-00484,United Agencies,Local Vendor,Ayaan Natt,unitedagencies@supplier.com,+91 6546868603,South,Tamil Nadu,Coimbatore,"641001 Coimbatore, Tamil Nadu",641001,11.0168,76.9558,09RWUIW8997L1Z5,OEAKK0048K,Advance,20,INR,4.2,False,Active,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
SUP000080,SUP-00080,Elite Chemicals,Import Supplier,Zayan Trivedi,elitechemicals@supplier.com,+91 9925977299,West,Maharashtra,Nagpur,"440001 Nagpur, Maharashtra",440001,21.1458,79.0882,17IXVHH0244E1Z5,SLDEU9877S,60 Days,8,INR,3.0,True,Active,2026-07-20 14:23:02.112976,2026-07-20 14:23:02.112976
SUP000040,SUP-00040,Prime Solutions,Ingredient Supplier,Ojas Sheth,primesolutions@supplier.com,+91 7729793619,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,16OULIX0364T1Z5,KTBYK5508Z,Advance,22,INR,4.6,False,Inactive,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000452,SUP-00452,United Agencies,Raw Material Supplier,Vedika Saraf,unitedagencies@supplier.com,+91 7712632090,South,Tamil Nadu,Salem,"636001 Salem, Tamil Nadu",636001,11.6643,78.146,11UPNKA4616Z1Z5,WCLML8645K,15 Days,13,INR,3.0,False,Active,2026-07-20 14:23:02.123002,2026-07-20 14:23:02.123002
SUP000047,SUP-00047,National Agencies,Local Vendor,Krishna Dasgupta,nationalagencies@supplier.com,+91 6427115990,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,20TAAQJ1115E1Z5,TVUKC2355O,15 Days,26,EUR,4.7,True,Active,2026-07-20 14:23:02.111976,2026-07-20 14:23:02.111976
SUP000239,SUP-00239,National Supplies,Local Vendor,Ishaan Wadhwa,nationalsupplies@supplier.com,+91 7222919836,West,Maharashtra,Pune,"411001 Pune, Maharashtra",411001,18.5204,73.8567,22SZJAB3640V1Z5,SZQWC7837K,45 Days,8,EUR,3.6,True,Active,2026-07-20 14:23:02.116986,2026-07-20 14:23:02.116986
SUP000392,SUP-00392,Value Manufacturing,Import Supplier,Nitara Chaudhari,valuemanufacturing@supplier.com,+91 9502230566,East,Odisha,Bhubaneswar,"751001 Bhubaneswar, Odisha",751001,20.2961,85.8245,17PQTSQ6160Q1Z5,VPVSI0623U,45 Days,22,EUR,3.0,False,Inactive,2026-07-20 14:23:02.120997,2026-07-20 14:23:02.120997
SUP000353,SUP-00353,Fresh Foods,Local Vendor,Sanaya Bhakta,freshfoods@supplier.com,+91 6038579542,East,Odisha,Cuttack,"753001 Cuttack, Odisha",753001,20.4625,85.8828,18ZDLBG8919X1Z5,IJUWY4045Y,90 Days,4,INR,4.6,False,Active,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000342,SUP-00342,United Manufacturing,Packaging Supplier,Chaitanya Chana,unitedmanufacturing@supplier.com,+91 9309971531,East,West Bengal,Kolkata,"700001 Kolkata, West Bengal",700001,22.5726,88.3639,20ALMXS2801U1Z5,RJNPV9080A,Advance,13,INR,4.1,False,Active,2026-07-20 14:23:02.119994,2026-07-20 14:23:02.119994
SUP000278,SUP-00278,Metro Supplies,Ingredient Supplier,Harinakshi Gill,metrosupplies@supplier.com,+91 7737142099,South,Karnataka,Hubballi,"580020 Hubballi, Karnataka",580020,15.3647,75.124,23MIPOB7248O1Z5,OCJTF5592K,45 Days,13,USD,3.5,False,Inactive,2026-07-20 14:23:02.117989,2026-07-20 14:23:02.117989
SUP000291,SUP-00291,Prime Supplies,Import Supplier,Pooja Bedi,primesupplies@supplier.com,+91 7068214664,West,Maharashtra,Mumbai,"400001 Mumbai, Maharashtra",400001,19.076,72.8777,22YNZVE4646M1Z5,JLDPL3390I,30 Days,18,USD,4.4,True,Inactive,2026-07-20 14:23:02.117989,2026-07-20 14:23:02.117989
SUP000318,SUP-00318,ABC Industries,Ingredient Supplier,Lopa Pingle,abcindustries@supplier.com,+91 6847766489,North,Uttar Pradesh,Kanpur,"208001 Kanpur, Uttar Pradesh",208001,26.4499,80.3319,36ZEMHJ1254D1Z5,PXYCU3798V,45 Days,22,EUR,4.3,True,Active,2026-07-20 14:23:02.118991,2026-07-20 14:23:02.118991
SUP000305,SUP-00305,United Solutions,Ingredient Supplier,Abha Babu,unitedsolutions@supplier.com,+91 8688744910,South,Karnataka,Mysuru,"570001 Mysuru, Karnataka",570001,12.2958,76.6394,30ERSDO3576Q1Z5,WXEYG0755I,60 Days,17,EUR,3.3,False,Active,2026-07-20 14:23:02.118991,2026-07-20 14:23:02.118991
