product_id,sku,product_name,brand,category,subcategory,package_size,uom,cost_price,selling_price,margin_percent,gst_percent,shelf_life_months,status
PROD004629,SKU004629,DailyChoice Soft Drinks 250kg,DailyChoice,Beverages,Soft Drinks,250,kg,326.15,436.52,33.84,12,12,Active
PROD002452,SKU002452,FreshLife Detergent 200pcs,FreshLife,Household,Detergent,200,pcs,361.55,487.73,34.9,12,18,Active
PROD002847,SKU002847,PrimeFoods Namkeen 100g,PrimeFoods,Snacks,Namkeen,100,g,328.43,440.42,34.1,5,18,Active
PROD001145,SKU001145,DailyChoice Detergent 50L,DailyChoice,Household,Detergent,50,L,489.67,688.77,40.66,18,12,Active
PROD003079,SKU003079,HealthyHome Detergent 250ml,HealthyHome,Household,Detergent,250,ml,328.56,411.0,25.09,5,24,Active
PROD001104,SKU001104,HealthyHome Juice 200L,HealthyHome,Beverages,Juice,200,L,49.53,70.31,41.96,18,12,Active
PROD000169,SKU000169,HealthyHome Dishwash 200g,HealthyHome,Household,Dishwash,200,g,76.08,87.56,15.09,18,12,Active
PROD001671,SKU001671,FreshLife Cheese 1000kg,FreshLife,Dairy,Cheese,1000,kg,72.61,85.98,18.41,12,6,Active
PROD002571,SKU002571,PureHarvest Curd 50g,PureHarvest,Dairy,Curd,50,g,266.94,376.07,40.88,5,6,Active
PROD002378,SKU002378,PureHarvest Detergent 500L,PureHarvest,Household,Detergent,500,L,127.75,162.04,26.84,18,24,Active
PROD004396,SKU004396,PrimeFoods Chips 500g,PrimeFoods,Snacks,Chips,500,g,402.31,483.58,20.2,5,6,Active
PROD004258,SKU004258,DailyChoice Soap 750pcs,DailyChoice,Personal Care,Soap,750,pcs,379.87,444.11,16.91,18,12,Active
PROD003863,SKU003863,HealthyHome Shampoo 1000L,HealthyHome,Personal Care,Shampoo,1000,L,258.02,310.22,20.23,5,18,Active
PROD000024,SKU000024,DailyChoice Butter 750pcs,DailyChoice,Dairy,Butter,750,pcs,231.96,319.41,37.7,5,24,Active
PROD002634,SKU002634,NatureFresh Cheese 500kg,NatureFresh,Dairy,Cheese,500,kg,100.9,128.73,27.58,12,6,Active
PROD003341,SKU003341,HealthyHome Shampoo 200ml,HealthyHome,Personal Care,Shampoo,200,ml,289.36,372.7,28.8,5,12,Active
PROD002216,SKU002216,DailyChoice Soft Drinks 250ml,DailyChoice,Beverages,Soft Drinks,250,ml,295.96,369.54,24.86,18,6,Active
PROD003683,SKU003683,DailyChoice Dishwash 200pcs,DailyChoice,Household,Dishwash,200,pcs,284.58,411.02,44.43,5,6,Active
PROD004725,SKU004725,DailyChoice Biscuits 50g,DailyChoice,Snacks,Biscuits,50,g,87.02,103.49,18.93,5,6,Active
PROD001908,SKU001908,NutriPlus Floor Cleaner 200ml,NutriPlus,Household,Floor Cleaner,200,ml,226.63,314.0,38.55,18,18,Active
PROD000085,SKU000085,DailyChoice Face Wash 750g,DailyChoice,Personal Care,Face Wash,750,g,435.55,556.07,27.67,5,18,Active
PROD000228,SKU000228,NatureFresh Juice 1000ml,NatureFresh,Beverages,Juice,1000,ml,65.22,91.93,40.96,12,24,Active
PROD000297,SKU000297,NatureFresh Juice 200kg,NatureFresh,Beverages,Juice,200,kg,375.38,440.36,17.31,5,12,Active
PROD001002,SKU001002,PrimeFoods Milk 100g,PrimeFoods,Dairy,Milk,100,g,293.22,341.28,16.39,18,6,Active
PROD002139,SKU002139,GoldenFarm Floor Cleaner 500kg,GoldenFarm,Household,Floor Cleaner,500,kg,407.85,512.38,25.63,12,18,Active
PROD000712,SKU000712,NutriPlus Soap 250L,NutriPlus,Personal Care,Soap,250,L,231.22,291.38,26.02,5,24,Active
PROD002802,SKU002802,PureHarvest Tea 1000kg,PureHarvest,Beverages,Tea,1000,kg,263.99,329.49,24.81,5,24,Active
PROD002528,SKU002528,NatureFresh Biscuits 50ml,NatureFresh,Snacks,Biscuits,50,ml,343.72,396.27,15.29,5,6,Active
PROD003753,SKU003753,NatureFresh Chips 200L,NatureFresh,Snacks,Chips,200,L,111.67,150.51,34.78,12,18,Active
PROD003322,SKU003322,DailyChoice Chips 250ml,DailyChoice,Snacks,Chips,250,ml,285.29,406.0,42.31,5,12,Active
PROD003182,SKU003182,PureHarvest Namkeen 200kg,PureHarvest,Snacks,Namkeen,200,kg,236.64,293.15,23.88,12,12,Active
PROD004184,SKU004184,FreshLife Detergent 200pcs,FreshLife,Household,Detergent,200,pcs,424.85,510.75,20.22,12,6,Active
PROD001616,SKU001616,HealthyHome Tea 500ml,HealthyHome,Beverages,Tea,500,ml,101.15,141.13,39.53,18,6,Active
PROD003025,SKU003025,GoldenFarm Curd 1000L,GoldenFarm,Dairy,Curd,1000,L,207.6,244.47,17.76,5,6,Active
PROD001414,SKU001414,GoldenFarm Namkeen 200L,GoldenFarm,Snacks,Namkeen,200,L,403.88,557.07,37.93,18,18,Active
PROD000764,SKU000764,HealthyHome Detergent 500pcs,HealthyHome,Household,Detergent,500,pcs,302.68,349.08,15.33,5,6,Active
PROD000656,SKU000656,PrimeFoods Coffee 250g,PrimeFoods,Beverages,Coffee,250,g,207.24,288.62,39.27,12,24,Active
PROD004798,SKU004798,GoldenFarm Detergent 750pcs,GoldenFarm,Household,Detergent,750,pcs,90.31,124.57,37.94,12,6,Active
PROD003850,SKU003850,PureHarvest Milk 100ml,PureHarvest,Dairy,Milk,100,ml,401.91,577.3,43.64,12,18,Active
PROD004154,SKU004154,GoldenFarm Face Wash 100ml,GoldenFarm,Personal Care,Face Wash,100,ml,352.32,420.42,19.33,18,6,Active
PROD000469,SKU000469,PrimeFoods Milk 200L,PrimeFoods,Dairy,Milk,200,L,151.97,204.48,34.55,12,12,Active
PROD000158,SKU000158,DailyChoice Face Wash 500L,DailyChoice,Personal Care,Face Wash,500,L,223.0,317.33,42.3,12,12,Active
PROD001296,SKU001296,HealthyHome Dishwash 100L,HealthyHome,Household,Dishwash,100,L,60.8,81.06,33.33,12,18,Active
PROD000498,SKU000498,NutriPlus Shampoo 500L,NutriPlus,Personal Care,Shampoo,500,L,214.36,266.84,24.48,12,12,Active
PROD004741,SKU004741,NutriPlus Soap 750ml,NutriPlus,Personal Care,Soap,750,ml,286.24,329.43,15.09,12,18,Active
PROD002941,SKU002941,HealthyHome Shampoo 200pcs,HealthyHome,Personal Care,Shampoo,200,pcs,341.38,487.39,42.77,12,24,Active
PROD003457,SKU003457,GoldenFarm Juice 50g,GoldenFarm,Beverages,Juice,50,g,398.92,479.38,20.17,18,6,Active
PROD000374,SKU000374,NutriPlus Coffee 750ml,NutriPlus,Beverages,Coffee,750,ml,90.9,131.13,44.26,18,18,Active
PROD000080,SKU000080,PureHarvest Shampoo 500kg,PureHarvest,Personal Care,Shampoo,500,kg,96.3,134.91,40.09,12,6,Active
